mode,setup_cost_percent_low,setup_cost_percent_high,rollout_time_min_low,rollout_time_min_high,fail_rate_percent,rollback_rate_percent
hybrid,8,12,4,7,0.0,0.0
pure-pqc,12,15,8,12,1.1,0.6
